"Signatur","Titel","Zeit","Ort"
"Sozarch_F_5033-Nb-002","Schaufenster Filiale LVZ: Teigwaren","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-003","Schaufenster Filiale LVZ: ""das gute Produkt der Hausfrau"" - Teigwaren","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-004","Schaufenster Filiale LVZ: ""Konsumenten vereinigt euch!"" - Koloniewaren, Gemüse","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-005","Schaufenster Filiale LVZ: Früchte, Gemüse","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-006","Schaufenster Filiale LVZ: ""Die guten LVZ-Tabake""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-007","Schaufenster Filiale LVZ: ""Jetzt alles für d'Useputzete vom bekannte  LVZ""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-008","Schaufenster Filiale LVZ: Luftseilbahn LSB, Tourenproviant","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-009","Ausstellung ""Die Aufbewahrung der Lagergemüse""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-010","Ausstellung ""Die Aufbewahrung der Lagergemüse""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-011","Schaufenster Filiale LVZ: ""Obst und Gemüse mit 8% Rückvergütung""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-012","Im Inneren einer LVZ-Filiale","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-014","Schaufenster Filiale LVZ: ""Obst Gemüse mit 8% Rückvergütung"", ""Das gute Brot vom LVZ mit 8% Rückvergütung""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-017","Schaufenster Filiale LVZ: ""Täglich frisch Obst und Gemüse zu billigsten Preisen""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-018","Schaufenster Filiale LVZ: ""Obst Gemüse mit 8% Rückvergütung""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-019","Schaufenster Filiale LVZ: ""Obst und Gemüse vom LVZ""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-020","Schaufenster Filiale LVZ: ""Täglich frisch Obst und Gemüse zu billigsten Preisen""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
